origin,destination,distance
AD,AD,0
AD,AE,5219.962
AD,AF,5705.718
AD,AG,6569.94
AD,AI,6591.824
AD,AL,1542.518
AD,AM,3598.751
AD,AO,6202.438
AD,AQ,15256.951
AD,AR,11148.955
AD,AS,16638.221
AD,AT,1155.851
AD,AU,15277.054
AD,AW,7565.609
AD,AX,2281.703
AD,AZ,3800.028
AD,BA,1309.304
AD,BB,6668.034
AD,BD,8157.703
AD,BE,911.469
AD,BF,3383.909
AD,BG,1947.24
AD,BH,4793.593
AD,BI,5846.56
AD,BJ,3696.615
AD,BL,6600.085
AD,BM,5818.173
AD,BN,11518.746
AD,BO,9324.179
AD,BQ,7466.494
AD,BR,8343.526
AD,BS,7291.422
AD,BT,7893.99
AD,BV,10783.754
AD,BW,7592.632
AD,BY,2295.923
AD,BZ,8733.66
AD,CA,7140.941
AD,CC,11346.514
AD,CD,4964.59
AD,CF,4424.463
AD,CG,5012.911
AD,CH,706.696
AD,CI,3955.131
AD,CK,17079.142
AD,CL,11426.02
AD,CM,4051.175
AD,CN,8292.572
AD,CO,8510.584
AD,CR,8897.85
AD,CU,7563.096
AD,CV,3826.49
AD,CW,7508.135
AD,CX,11941.951
AD,CY,2858.537
AD,CZ,1335.954
AD,DE,1169.274
AD,DJ,5218.484
AD,DK,1626.388
AD,DM,6653.465
AD,DO,7136.666
AD,DZ,1613.709
AD,EC,9311.853
AD,EE,2407.977
AD,EG,3166.423
AD,EH,2434.213
AD,ER,4738.127
AD,ES,502.025
AD,ET,5298.661
AD,FI,2677.02
AD,FJ,17120.096
AD,FK,12024.555
AD,FM,13630.331
AD,FO,2223.602
AD,FR,412.229
AD,GA,4923.445
AD,GB,1472.494
AD,GD,6903.608
AD,GE,3391.609
AD,GF,6884.303
AD,GG,833.252
AD,GH,3855.893
AD,GI,929.184
AD,GL,4016.433
AD,GM,3621.332
AD,GN,3788.073
AD,GP,6596.699
AD,GQ,4628.593
AD,GR,1740.679
AD,GS,11393.801
AD,GT,8975.678
AD,GU,12744.38
AD,GW,3783.791
AD,GY,7257.166
AD,HK,10027.426
AD,HM,12652.697
AD,HN,8698.401
AD,HR,1125.767
AD,HT,7293.814
AD,HU,1497.466
AD,ID,11875.943
AD,IE,1410.237
AD,IL,3198.692
AD,IM,1375.59
AD,IN,7463.85
AD,IO,8903.524
AD,IQ,3793.24
AD,IR,4655.307
AD,IS,2807.666
AD,IT,905.634
AD,JE,795.583
AD,JM,7763.4
AD,JO,3337.649
AD,JP,10217.143
AD,KE,5959.884
AD,KG,5860.113
AD,KH,10131.195
AD,KI,15554.707
AD,KM,7424.972
AD,KN,6629.406
AD,KP,9315.806
AD,KR,9724.372
AD,KW,4325.391
AD,KY,7929.051
AD,KZ,4992.085
AD,LA,9377.598
AD,LB,3121.48
AD,LC,6731.378
AD,LI,806.064
AD,LK,8530.654
AD,LR,4160.142
AD,LS,8473.499
AD,LT,2134.21
AD,LU,879.839
AD,LV,2275.961
AD,LY,2294.701
AD,MA,1420.683
AD,MC,490.574
AD,MD,2162.064
AD,ME,1451.494
AD,MF,6600.197
AD,MG,8243.24
AD,MH,14391.152
AD,MK,1661.868
AD,ML,2827.27
AD,MM,8721.678
AD,MN,7478.752
AD,MO,10003.816
AD,MP,12394.616
AD,MQ,6681.48
AD,MR,2665.331
AD,MS,6624.553
AD,MT,1320.652
AD,MU,9037.759
