period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
2019-01,1.13941e-7,0.0000473921,0.0076043,3.1008e-10,6.68196e-10,0.00366344,0.0003166,0.00000123695,0.00198038
2019-02,1.21255e-7,0.0000464833,0.00762948,3.02196e-10,6.73337e-10,0.00367232,0.00032901,0.00000118823,0.00196261
2019-03,1.44863e-7,0.0000482067,0.00834553,3.47333e-10,7.31424e-10,0.00389791,0.00036836,0.00000119793,0.00210247
2019-04,1.53936e-7,0.0000477166,0.00844293,3.37096e-10,7.4441e-10,0.00395569,0.000386437,0.00000115588,0.00210032
2019-05,1.58328e-7,0.00004762,0.00861434,3.36622e-10,7.55839e-10,0.00402223,0.00039763,0.00000113534,0.00210622
2019-06,1.56133e-7,0.0000467845,0.00826686,3.09692e-10,7.38886e-10,0.00393659,0.000392445,0.00000111493,0.00205693
2019-07,1.4832e-7,0.000046268,0.00798244,2.93735e-10,7.18221e-10,0.00384887,0.000378336,0.00000111604,0.00201198
2019-08,1.48427e-7,0.0000466026,0.00791648,2.92243e-10,7.17909e-10,0.00383958,0.000377187,0.00000113114,0.00202246
2019-09,1.45066e-7,0.0000461005,0.00801023,3.06612e-10,7.12457e-10,0.0038151,0.000370427,0.00000112016,0.00200778
2019-10,1.39685e-7,0.0000464889,0.00812951,3.22818e-10,7.10808e-10,0.00382219,0.000361841,0.00000114327,0.0020183
2019-11,1.27273e-7,0.0000469683,0.00800724,3.29408e-10,6.9365e-10,0.00376108,0.000339816,0.00000118906,0.00200967
2019-12,1.23357e-7,0.0000477763,0.00796129,3.41751e-10,6.90068e-10,0.00373277,0.000329659,0.00000123328,0.00203563
2020-01,1.29411e-7,0.0000485922,0.0080414,3.38981e-10,7.05488e-10,0.00380352,0.000341672,0.00000124745,0.00207405
2020-02,1.41213e-7,0.0000489036,0.0084955,3.65848e-10,7.34409e-10,0.00392216,0.000362457,0.00000122906,0.00212858
2020-03,1.66146e-7,0.0000509524,0.00902677,3.87858e-10,7.92427e-10,0.00415421,0.000405891,0.00000124696,0.00226686
2020-04,1.83968e-7,0.0000520818,0.00897371,3.68051e-10,8.20416e-10,0.00424506,0.000435285,0.00000125464,0.0023323
2020-05,1.86989e-7,0.0000519439,0.00911796,3.7114e-10,8.28327e-10,0.00428896,0.000442592,0.00000123824,0.0023363
2020-06,1.74078e-7,0.0000493912,0.00882569,3.44409e-10,7.91336e-10,0.00415502,0.00042364,0.00000116799,0.00220549
2020-07,1.67198e-7,0.0000485844,0.00855151,3.20443e-10,7.71801e-10,0.00408435,0.00041357,0.00000115223,0.00214756
2020-08,1.64722e-7,0.0000487821,0.00842826,3.20765e-10,7.65117e-10,0.00404153,0.000406523,0.00000117063,0.00214909
2020-09,1.62995e-7,0.0000488352,0.00855077,3.25014e-10,7.67774e-10,0.0040753,0.000406647,0.00000116968,0.00214891
