continent,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
Africa,2019-01,2.91949e-7,0.00107198,0.161261,0.00000322413,0.00000165637,0.414929,0.00630125,0.0000344513,0.0419049
Africa,2019-02,2.87745e-7,0.00107056,0.1599,0.00000293432,0.0000015086,0.411916,0.00627376,0.0000344628,0.0414209
Africa,2019-03,2.92768e-7,0.0010633,0.160467,0.00000340881,0.00000175018,0.413292,0.00629236,0.0000342459,0.0418078
Africa,2019-04,2.90492e-7,0.00106107,0.160635,0.00000311218,0.00000159945,0.413502,0.00629006,0.0000338593,0.0418539
Africa,2019-05,2.92032e-7,0.00105946,0.161574,0.00000325438,0.00000167207,0.415742,0.00630227,0.0000336655,0.0421223
Africa,2019-06,2.90613e-7,0.00106459,0.16144,0.00000312484,0.00000160605,0.415565,0.00630956,0.0000339113,0.0420653
Africa,2019-07,2.92248e-7,0.00107299,0.162303,0.0000032734,0.0000016817,0.417234,0.00631587,0.0000343341,0.0421899
Africa,2019-08,2.90631e-7,0.00108268,0.162435,0.00000328109,0.00000168555,0.417117,0.00630029,0.0000348588,0.0420561
Africa,2019-09,2.92033e-7,0.00106371,0.160871,0.00000338262,0.00000173691,0.415032,0.00631309,0.0000341786,0.0419113
Africa,2019-10,2.9477e-7,0.00106217,0.161315,0.0000035704,0.00000183262,0.415268,0.00628683,0.0000341101,0.0418967
Africa,2019-11,2.94047e-7,0.00106268,0.160644,0.00000353744,0.00000181564,0.413743,0.0062744,0.0000342663,0.0416632
Africa,2019-12,2.92564e-7,0.00106299,0.160123,0.00000348037,0.00000178643,0.412918,0.00627473,0.0000343629,0.0415211
Africa,2020-01,2.98478e-7,0.00109951,0.162532,0.00000379568,0.00000194738,0.412168,0.00614493,0.0000360935,0.0413453
Africa,2020-02,2.94376e-7,0.00109672,0.161697,0.00000348346,0.00000178841,0.410148,0.00612891,0.0000358902,0.0411083
Africa,2020-03,2.98515e-7,0.00110447,0.162543,0.00000368842,0.0000018928,0.411464,0.00612379,0.0000362959,0.041189
Africa,2020-04,2.94223e-7,0.00109177,0.159611,0.00000339175,0.00000174118,0.405658,0.00608379,0.0000360036,0.040325
Africa,2020-05,2.95975e-7,0.00108865,0.161879,0.00000320479,0.00000164689,0.410643,0.00612132,0.0000351727,0.0410801
Africa,2020-06,2.9704e-7,0.00108969,0.162973,0.00000338387,0.00000173827,0.413108,0.0061372,0.0000351243,0.0414176
Africa,2020-07,2.96879e-7,0.00108572,0.162974,0.0000034141,0.00000175366,0.413558,0.00616249,0.0000349297,0.0416258
Africa,2020-08,2.97315e-7,0.00108023,0.162163,0.00000334712,0.0000017194,0.412344,0.00616533,0.0000347436,0.0414618
Africa,2020-09,2.95977e-7,0.00108025,0.16192,0.00000310202,0.0000015947,0.411689,0.00615446,0.0000346179,0.0413095
Africa,2020-10,2.99474e-7,0.00108413,0.162401,0.00000350209,0.00000179826,0.412401,0.00615595,0.0000350148,0.0414631
Africa,2020-11,2.96873e-7,0.00108539,0.16137,0.00000327523,0.00000168261,0.40965,0.00614193,0.0000351459,0.0412165
Africa,2020-12,2.96267e-7,0.00108532,0.161003,0.00000320639,0.00000164745,0.40915,0.00614697,0.000035185,0.0411297
Africa,2021-01,2.98929e-7,0.00108876,0.161545,0.00000365936,0.00000187788,0.410428,0.00613341,0.0000355942,0.0410806
Africa,2021-02,2.96438e-7,0.00109104,0.160662,0.00000342639,0.00000175913,0.408136,0.00610459,0.0000357504,0.0406718
Africa,2021-03,3.01503e-7,0.00109202,0.162222,0.00000365307,0.00000187486,0.41143,0.0061318,0.0000356292,0.0411864
Africa,2021-04,2.9877e-7,0.00108999,0.162249,0.00000339632,0.00000174436,0.411546,0.00613176,0.0000353119,0.041206
Africa,2021-05,2.98346e-7,0.00108668,0.162883,0.00000317214,0.0000016306,0.413016,0.00614792,0.0000348247,0.0414551
Africa,2021-06,2.97793e-7,0.00108738,0.162617,0.00000329533,0.00000169312,0.412581,0.00615344,0.000035025,0.0414432
Africa,2021-07,3.00034e-7,0.00108973,0.163002,0.00000357032,0.00000183301,0.41379,0.00618587,0.000035283,0.0417471
Africa,2021-08,3.00533e-7,0.00108921,0.162519,0.00000352188,0.00000180819,0.413372,0.00619857,0.0000353323,0.0416564
Africa,2021-09,3.00333e-7,0.00107691,0.160842,0.0000034926,0.00000179302,0.40924,0.00616089,0.0000349508,0.0412472
Africa,2021-10,2.98848e-7,0.00108983,0.161225,0.00000318729,0.00000163773,0.40902,0.00613516,0.0000353995,0.0410394
Africa,2021-11,2.98363e-7,0.00111099,0.162272,0.00000313546,0.00000161139,0.410823,0.00613213,0.0000363617,0.0410063
Africa,2021-12,2.95894e-7,0.00110531,0.161682,0.00000293755,0.00000151065,0.40968,0.00612992,0.0000360216,0.0409206
Africa,2022-01,2.95853e-7,0.00110652,0.162525,0.00000267133,0.00000137552,0.411535,0.00613189,0.0000357091,0.0410262
Africa,2022-02,2.9281e-7,0.00110767,0.162023,0.0000026291,0.00000135389,0.410279,0.00610233,0.0000358536,0.0407019
Africa,2022-03,3.0071e-7,0.00111463,0.163375,0.00000338942,0.00000174082,0.412806,0.0061131,0.0000365144,0.0410556
Africa,2022-04,3.03005e-7,0.00112006,0.162841,0.00000358749,0.00000184127,0.411504,0.00610142,0.0000370995,0.0407961
Africa,2022-05,3.07033e-7,0.00111697,0.163664,0.00000409245,0.00000209836,0.413591,0.00612082,0.000037088,0.0411795
Africa,2022-06,3.0363e-7,0.00111571,0.163627,0.0000038757,0.00000198807,0.41429,0.00614214,0.0000368956,0.0412315
Africa,2022-07,3.06124e-7,0.00111671,0.163707,0.00000397747,0.00000203981,0.41449,0.00614683,0.0000370149,0.0412496
Africa,2022-08,3.07627e-7,0.001116,0.163479,0.00000396587,0.00000203385,0.414076,0.00616092,0.0000370167,0.0413166
Africa,2022-09,3.06045e-7,0.00112934,0.162541,0.00000395018,0.00000202536,0.411683,0.00612464,0.0000379959,0.0406988
Africa,2022-10,3.05526e-7,0.0011285,0.162638,0.0000038398,0.00000196938,0.410741,0.00611247,0.000037827,0.0408153
Africa,2022-11,3.07241e-7,0.0011086,0.160962,0.00000392256,0.00000201124,0.407883,0.00611225,0.0000370791,0.0406543
Africa,2022-12,3.0973e-7,0.00111948,0.160673,0.00000426656,0.00000218585,0.407561,0.00610092,0.0000380396,0.0403128
Africa,2023-01,3.12477e-7,0.00110926,0.16047,0.00000413481,0.00000211894,0.4073,0.0061079,0.000037388,0.0403859
Africa,2023-02,3.07207e-7,0.00111151,0.15984,0.00000383975,0.00000196869,0.405612,0.00608189,0.0000374488,0.0400591
Africa,2023-03,3.12775e-7,0.00110964,0.161269,0.00000404537,0.00000207373,0.408833,0.00611452,0.0000371647,0.0406054
Africa,2023-04,3.09431e-7,0.00109929,0.15999,0.00000387562,0.00000198718,0.406275,0.00609913,0.000036719,0.0403417
Africa,2023-05,3.10026e-7,0.00110682,0.161313,0.00000404354,0.00000207284,0.409227,0.00611992,0.0000369953,0.0406814
Africa,2023-06,3.0942e-7,0.001099,0.161512,0.00000400309,0.00000205243,0.409982,0.00613238,0.0000364753,0.0408714
Africa,2023-07,3.09947e-7,0.0010955,0.161437,0.0000038936,0.00000199671,0.410611,0.00616013,0.0000362282,0.0409831
Africa,2023-08,3.14023e-7,0.00109303,0.160877,0.00000403267,0.00000206729,0.409327,0.00615704,0.0000363069,0.0408655
Africa,2023-09,3.13963e-7,0.00109412,0.15987,0.00000393556,0.00000201758,0.407222,0.00614509,0.0000365175,0.040533
Africa,2023-10,3.17615e-7,0.00109727,0.160795,0.00000400885,0.00000205515,0.408365,0.00613648,0.0000365295,0.0407119
Africa,2023-11,3.15801e-7,0.00110073,0.159763,0.00000392035,0.00000200979,0.405938,0.00611591,0.0000368929,0.0403259
Africa,2023-12,3.15466e-7,0.00109539,0.159777,0.00000392492,0.00000201222,0.405941,0.00611923,0.0000365728,0.0404527
Africa,2024-01,3.17718e-7,0.00109645,0.159493,0.00000400315,0.00000205189,0.405315,0.00611229,0.0000367537,0.0403055
Africa,2024-02,3.16039e-7,0.00109647,0.159032,0.00000362705,0.00000186051,0.403848,0.00609495,0.0000365892,0.0400786
Africa,2024-03,3.15024e-7,0.00109673,0.160494,0.00000352208,0.0000018076,0.407172,0.00612036,0.0000362028,0.0405557
Africa,2024-04,3.11244e-7,0.00109458,0.160392,0.00000347805,0.00000178521,0.406799,0.00610903,0.0000360728,0.0405202
Africa,2024-05,3.12428e-7,0.00109269,0.161266,0.00000356159,0.00000182797,0.409133,0.00613615,0.0000358343,0.0408831
Africa,2024-06,3.09062e-7,0.00109422,0.162003,0.00000340449,0.00000174825,0.411188,0.00615422,0.0000356636,0.0410882
Africa,2024-07,3.12864e-7,0.0010895,0.162134,0.00000366723,0.00000188191,0.412455,0.00618908,0.0000355515,0.0413387
Africa,2024-08,3.15563e-7,0.00108825,0.161388,0.00000379699,0.00000194765,0.410956,0.00618645,0.0000357455,0.0411495
Africa,2024-09,3.16006e-7,0.00109338,0.160734,0.00000372039,0.00000190844,0.408968,0.00614952,0.0000361275,0.0406903
Africa,2024-10,3.2309e-7,0.00109202,0.160399,0.00000388766,0.00000199352,0.406793,0.00612434,0.0000362164,0.0406185
Africa,2024-11,3.23246e-7,0.00109596,0.160249,0.00000398693,0.00000204393,0.406283,0.00611176,0.0000365346,0.0404894
Africa,2024-12,3.22711e-7,0.00109556,0.159653,0.00000378373,0.00000194038,0.405451,0.0061195,0.0000365044,0.0403427
Africa,2025-01,3.22927e-7,0.00109354,0.159126,0.00000383173,0.00000196466,0.404153,0.00612903,0.0000365434,0.0403929
Africa,2025-02,3.13237e-7,0.00109341,0.158896,0.00000345618,0.0000017736,0.404116,0.00611497,0.0000363285,0.0401855
Africa,2025-03,3.15533e-7,0.0011032,0.161059,0.00000382984,0.00000196414,0.40864,0.00612297,0.0000366802,0.0406093
Africa,2025-04,3.10931e-7,0.00109828,0.160411,0.0000037123,0.00000190426,0.407333,0.00611749,0.0000364538,0.040527
Africa,2025-05,3.10931e-7,0.00109828,0.160411,0.0000037123,0.00000190426,0.407333,0.00611749,0.0000364538,0.040527
Africa,2025-06,3.10931e-7,0.00109828,0.160411,0.0000037123,0.00000190426,0.407333,0.00611749,0.0000364538,0.040527
Asia,2019-01,5.26158e-7,0.00158335,0.273136,0.0000178736,0.0000091333,0.650717,0.0079495,0.0000494836,0.0734407
Asia,2019-02,5.28476e-7,0.00158197,0.272966,0.0000179978,0.00000919637,0.64997,0.00793024,0.000049573,0.0731966
Asia,2019-03,5.44777e-7,0.00155001,0.268616,0.0000177478,0.00000906849,0.638553,0.00790078,0.0000484831,0.0725929
Asia,2019-04,5.50258e-7,0.00154058,0.265113,0.0000179442,0.00000916732,0.631168,0.00785953,0.0000488951,0.071515
Asia,2019-05,5.51013e-7,0.00151511,0.261532,0.0000176633,0.00000902381,0.622021,0.00777399,0.0000480161,0.0704847
Asia,2019-06,5.41186e-7,0.00151521,0.262734,0.0000172125,0.00000879504,0.624747,0.00777347,0.0000473929,0.0707703
Asia,2019-07,5.31391e-7,0.00150303,0.26401,0.0000166282,0.00000849879,0.625562,0.00772369,0.0000459067,0.0711275
Asia,2019-08,5.35313e-7,0.00150102,0.264442,0.0000166488,0.00000850944,0.62661,0.00774504,0.0000456888,0.0714012
Asia,2019-09,5.36029e-7,0.00151681,0.262755,0.0000172075,0.00000879255,0.625478,0.0077705,0.000047442,0.0707358
Asia,2019-10,5.33458e-7,0.00152,0.263084,0.0000168472,0.0000086093,0.626668,0.00779823,0.0000473337,0.0708628
Asia,2019-11,5.32945e-7,0.00155058,0.269617,0.0000168146,0.00000859428,0.640179,0.00788174,0.000047653,0.0725949
Asia,2019-12,5.31167e-7,0.00156741,0.277161,0.0000161747,0.00000827116,0.655311,0.00795074,0.0000464193,0.074678
Asia,2020-01,5.37431e-7,0.00158857,0.271874,0.0000173695,0.00000887637,0.648232,0.00795892,0.0000497347,0.0728843
Asia,2020-02,5.40834e-7,0.00157932,0.270895,0.0000173819,0.00000888253,0.645845,0.00794952,0.0000494106,0.0727451
Asia,2020-03,5.57346e-7,0.00153473,0.264141,0.0000172175,0.00000879758,0.628583,0.00788056,0.0000482181,0.0715496
Asia,2020-04,5.67054e-7,0.00153541,0.263468,0.0000174561,0.00000891869,0.62732,0.00788444,0.0000485534,0.0713575
Asia,2020-05,5.63609e-7,0.00151922,0.263539,0.0000168671,0.00000861961,0.625481,0.007833,0.0000471637,0.0713401
Asia,2020-06,5.47349e-7,0.00150009,0.260927,0.0000164409,0.00000840252,0.618993,0.00773694,0.0000462976,0.0704643
Asia,2020-07,5.38139e-7,0.00148485,0.260724,0.0000159249,0.00000814052,0.617278,0.00767685,0.0000450063,0.0703854
Asia,2020-08,5.43738e-7,0.00148824,0.264034,0.0000156614,0.00000800763,0.62373,0.00769699,0.0000442439,0.0711883
Asia,2020-09,5.44176e-7,0.00149644,0.259804,0.0000164265,0.00000839499,0.616671,0.00767721,0.0000462665,0.0698246
Asia,2020-10,5.42151e-7,0.0014947,0.258533,0.0000166983,0.00000853273,0.614023,0.0076714,0.0000467131,0.0695317
Asia,2020-11,5.42375e-7,0.00153944,0.269536,0.0000165548,0.00000846248,0.638335,0.00784655,0.0000467376,0.0726619
Asia,2020-12,5.41027e-7,0.00156059,0.278011,0.0000159054,0.00000813483,0.654808,0.00791613,0.0000455387,0.0749756
Asia,2021-01,5.56614e-7,0.00156482,0.273286,0.0000166293,0.00000850106,0.646356,0.00790435,0.0000474401,0.0734609
Asia,2021-02,5.58576e-7,0.00155343,0.272255,0.0000162512,0.00000830869,0.644053,0.00789436,0.0000467245,0.0732396
Asia,2021-03,5.7771e-7,0.00153671,0.272208,0.0000163118,0.00000833986,0.642246,0.00791285,0.0000457514,0.0737206
Asia,2021-04,5.79418e-7,0.00152341,0.267425,0.0000167551,0.00000856388,0.632495,0.00785912,0.0000464062,0.0723661
Asia,2021-05,5.8366e-7,0.001495,0.261853,0.0000163642,0.00000836387,0.618511,0.00776483,0.0000457207,0.07095
Asia,2021-06,5.72246e-7,0.00149252,0.262851,0.0000159174,0.00000813723,0.620602,0.00774996,0.0000449644,0.0711849
Asia,2021-07,5.61382e-7,0.00147583,0.263498,0.0000152438,0.00000779541,0.619887,0.00769353,0.0000432779,0.0714757
Asia,2021-08,5.64748e-7,0.00148357,0.264297,0.0000154571,0.000007904,0.622403,0.00771768,0.0000436871,0.0716322
Asia,2021-09,5.5646e-7,0.00148787,0.25975,0.0000161402,0.00000824972,0.613898,0.00766841,0.0000455142,0.0701863
Asia,2021-10,5.62089e-7,0.00149437,0.259691,0.0000164183,0.00000839079,0.614411,0.00771569,0.0000461824,0.0703223
Asia,2021-11,5.65702e-7,0.00152493,0.266101,0.0000165494,0.00000845897,0.628454,0.0078019,0.0000466437,0.0719046
Asia,2021-12,5.67654e-7,0.00154298,0.274058,0.0000160276,0.00000819605,0.644002,0.00789859,0.0000454588,0.0744005
Asia,2022-01,5.71943e-7,0.00156223,0.273255,0.0000163536,0.00000836117,0.6444,0.00792156,0.0000469675,0.0739257
Asia,2022-02,5.74178e-7,0.00155525,0.272681,0.000016371,0.00000836991,0.643463,0.00790743,0.0000467021,0.0736843
Asia,2022-03,5.93158e-7,0.00151034,0.266118,0.0000161638,0.00000826315,0.626564,0.00780274,0.0000454573,0.0720814
Asia,2022-04,6.09748e-7,0.00150076,0.25973,0.0000167684,0.00000856863,0.612718,0.0077334,0.000046813,0.0701288
Asia,2022-05,6.06507e-7,0.00147215,0.255122,0.0000164105,0.00000838576,0.600908,0.00762959,0.0000459069,0.0689103
Asia,2022-06,5.94378e-7,0.00145964,0.256544,0.0000157686,0.00000806018,0.603823,0.00760106,0.0000443204,0.0692218
Asia,2022-07,5.91262e-7,0.00146776,0.263366,0.0000150369,0.00000769047,0.617411,0.00767435,0.0000426034,0.0714029
Asia,2022-08,5.94842e-7,0.00148663,0.268314,0.000015014,0.00000768016,0.628019,0.00774089,0.0000425373,0.072768
Asia,2022-09,6.05573e-7,0.00149836,0.263471,0.0000160054,0.00000818216,0.620516,0.00775732,0.000045136,0.0712419
Asia,2022-10,6.01578e-7,0.00148739,0.259558,0.0000163923,0.0000083777,0.611957,0.00773473,0.0000457297,0.0704894
Asia,2022-11,5.89117e-7,0.00151837,0.266618,0.0000164481,0.00000840782,0.628203,0.00783427,0.0000459932,0.072431
Asia,2022-12,5.81916e-7,0.00152779,0.272521,0.0000157849,0.00000807249,0.638122,0.00783482,0.0000447114,0.0739452
Asia,2023-01,5.98804e-7,0.00153988,0.270148,0.0000164214,0.00000839507,0.63442,0.00785021,0.0000464206,0.0731245
Asia,2023-02,6.02735e-7,0.0015348,0.269725,0.0000163546,0.00000836101,0.633977,0.00784998,0.0000461737,0.0729396
Asia,2023-03,6.31108e-7,0.00150773,0.268266,0.0000160715,0.00000821714,0.629159,0.00786029,0.0000446551,0.0730325
